,0
aapl_ann_vol,0.2624594693656585
bs_call_price,9.301416428864151
var_param,256152.74147403316
var_hist,338830.56397420575
var_mc,258271.19297216838
es_hist,398860.23509527184
kupiec_breaches,24.0
kupiec_obs,1511.0
kupiec_pvalue,0.03424567119897182
